Instance 	 p 	 q 
1 	 [73, 72, 59, 97, 54, 72, 93, 39, 29, 69, 49, 7, 84, 34, 37, 89, 48, 49, 93, 8] 	 [2, 77, 44, 76, 3, 53, 2, 22, 43, 34, 99, 41, 33, 65, 53, 6, 71, 39, 79, 13] 
2 	 [54, 46, 25, 38, 4, 51, 41, 34, 79, 16, 75, 76, 58, 11, 77, 59, 96, 91, 34, 29] 	 [48, 20, 76, 54, 19, 27, 39, 84, 91, 95, 31, 20, 79, 66, 51, 2, 36, 17, 86, 7] 
3 	 [17, 19, 42, 94, 86, 85, 62, 82, 46, 59, 17, 66, 44, 11, 94, 76, 54, 28, 33, 36] 	 [79, 59, 80, 69, 15, 35, 66, 55, 18, 87, 57, 44, 94, 25, 55, 45, 24, 61, 86, 96] 
4 	 [34, 69, 11, 83, 34, 99, 38, 49, 91, 30, 26, 20, 100, 30, 14, 72, 2, 56, 16, 50] 	 [20, 96, 47, 35, 80, 4, 10, 13, 34, 36, 20, 33, 70, 43, 67, 23, 38, 56, 3, 84] 
5 	 [90, 66, 58, 62, 45, 61, 96, 53, 22, 72, 90, 40, 54, 30, 86, 46, 81, 15, 45, 65] 	 [19, 72, 90, 91, 4, 99, 92, 33, 16, 65, 27, 28, 3, 93, 17, 95, 13, 17, 30, 8] 
6 	 [52, 77, 42, 51, 41, 64, 15, 28, 84, 47, 83, 79, 36, 53, 99, 41, 42, 50, 93, 83] 	 [42, 52, 84, 99, 70, 38, 89, 49, 61, 37, 95, 19, 58, 13, 36, 23, 80, 41, 27, 30] 
7 	 [87, 75, 91, 49, 18, 48, 1, 84, 21, 98, 50, 60, 44, 83, 33, 39, 7, 40, 77, 82] 	 [66, 38, 13, 67, 48, 52, 24, 29, 15, 31, 88, 90, 24, 68, 21, 87, 46, 60, 55, 49] 
8 	 [54, 68, 64, 86, 7, 18, 30, 35, 61, 34, 14, 18, 25, 91, 30, 94, 96, 84, 27, 76] 	 [23, 34, 66, 97, 74, 1, 52, 20, 63, 6, 25, 54, 51, 86, 87, 49, 85, 53, 75, 48] 
9 	 [72, 98, 85, 43, 63, 66, 80, 90, 83, 40, 46, 64, 98, 72, 83, 81, 53, 73, 52, 60] 	 [10, 16, 25, 14, 3, 100, 78, 64, 3, 20, 82, 36, 1, 21, 65, 57, 62, 33, 86, 13] 
10 	 [85, 82, 29, 69, 39, 71, 31, 13, 75, 97, 37, 37, 14, 51, 92, 64, 81, 28, 40, 43] 	 [71, 28, 2, 45, 97, 17, 100, 37, 91, 86, 37, 28, 9, 94, 82, 9, 46, 5, 49, 19] 
