Instance 	 p 	 q 
1 	 [73, 72, 59, 97, 54, 72, 93, 39, 29, 69, 49, 7, 84, 34, 37, 89, 48, 49, 93, 8, 2, 77, 44, 76, 3, 53, 2, 22, 43, 34, 99, 41, 33, 65, 53, 6, 71, 39, 79, 13, 54, 46, 25, 38, 4, 51, 41, 34, 79, 16, 75, 76, 58, 11, 77, 59, 96, 91, 34, 29, 48, 20, 76, 54, 19, 27, 39, 84, 91, 95, 31, 20, 79, 66, 51, 2, 36, 17, 86, 7, 17, 19, 42, 94, 86, 85, 62, 82, 46, 59, 17, 66, 44, 11, 94, 76, 54, 28, 33, 36] 	 [79, 59, 80, 69, 15, 35, 66, 55, 18, 87, 57, 44, 94, 25, 55, 45, 24, 61, 86, 96, 34, 69, 11, 83, 34, 99, 38, 49, 91, 30, 26, 20, 100, 30, 14, 72, 2, 56, 16, 50, 20, 96, 47, 35, 80, 4, 10, 13, 34, 36, 20, 33, 70, 43, 67, 23, 38, 56, 3, 84, 90, 66, 58, 62, 45, 61, 96, 53, 22, 72, 90, 40, 54, 30, 86, 46, 81, 15, 45, 65, 19, 72, 90, 91, 4, 99, 92, 33, 16, 65, 27, 28, 3, 93, 17, 95, 13, 17, 30, 8] 
2 	 [52, 77, 42, 51, 41, 64, 15, 28, 84, 47, 83, 79, 36, 53, 99, 41, 42, 50, 93, 83, 42, 52, 84, 99, 70, 38, 89, 49, 61, 37, 95, 19, 58, 13, 36, 23, 80, 41, 27, 30, 87, 75, 91, 49, 18, 48, 1, 84, 21, 98, 50, 60, 44, 83, 33, 39, 7, 40, 77, 82, 66, 38, 13, 67, 48, 52, 24, 29, 15, 31, 88, 90, 24, 68, 21, 87, 46, 60, 55, 49, 54, 68, 64, 86, 7, 18, 30, 35, 61, 34, 14, 18, 25, 91, 30, 94, 96, 84, 27, 76] 	 [23, 34, 66, 97, 74, 1, 52, 20, 63, 6, 25, 54, 51, 86, 87, 49, 85, 53, 75, 48, 72, 98, 85, 43, 63, 66, 80, 90, 83, 40, 46, 64, 98, 72, 83, 81, 53, 73, 52, 60, 10, 16, 25, 14, 3, 100, 78, 64, 3, 20, 82, 36, 1, 21, 65, 57, 62, 33, 86, 13, 85, 82, 29, 69, 39, 71, 31, 13, 75, 97, 37, 37, 14, 51, 92, 64, 81, 28, 40, 43, 71, 28, 2, 45, 97, 17, 100, 37, 91, 86, 37, 28, 9, 94, 82, 9, 46, 5, 49, 19] 
3 	 [67, 63, 37, 7, 81, 23, 48, 39, 70, 85, 55, 50, 25, 36, 17, 54, 36, 22, 90, 36, 54, 82, 81, 28, 97, 20, 3, 78, 78, 26, 80, 56, 80, 62, 99, 91, 66, 73, 100, 62, 16, 42, 79, 35, 62, 78, 79, 25, 87, 82, 53, 10, 38, 57, 7, 14, 50, 14, 79, 40, 50, 95, 13, 38, 5, 54, 10, 58, 62, 44, 91, 35, 7, 61, 93, 84, 36, 73, 63, 34, 35, 99, 77, 24, 44, 26, 46, 19, 54, 33, 19, 29, 97, 30, 5, 48, 28, 78, 85, 43] 	 [60, 78, 92, 20, 41, 22, 59, 9, 45, 86, 62, 78, 94, 19, 81, 7, 1, 86, 25, 46, 5, 50, 13, 71, 37, 2, 11, 58, 21, 58, 17, 81, 46, 48, 98, 61, 16, 8, 74, 22, 51, 84, 96, 9, 30, 2, 2, 53, 31, 65, 30, 9, 95, 93, 81, 40, 33, 43, 26, 40, 75, 5, 83, 67, 71, 49, 54, 65, 96, 59, 31, 89, 54, 75, 66, 19, 5, 37, 38, 28, 20, 21, 32, 14, 48, 5, 40, 18, 5, 54, 92, 68, 26, 36, 3, 69, 31, 25, 34, 27] 
4 	 [12, 64, 76, 23, 62, 17, 33, 46, 61, 71, 85, 15, 99, 85, 18, 48, 58, 73, 33, 76, 46, 73, 94, 59, 53, 68, 65, 35, 49, 9, 81, 17, 69, 43, 14, 33, 37, 93, 69, 33, 80, 14, 76, 55, 63, 79, 8, 96, 77, 76, 29, 98, 68, 28, 90, 72, 58, 7, 83, 43, 82, 87, 94, 77, 41, 92, 32, 71, 53, 37, 44, 95, 88, 93, 3, 70, 3, 12, 89, 60, 98, 80, 95, 91, 85, 94, 84, 8, 7, 23, 84, 46, 31, 52, 2, 84, 45, 50, 94, 82] 	 [13, 2, 59, 20, 53, 92, 30, 21, 26, 59, 58, 66, 29, 9, 78, 4, 65, 79, 21, 78, 38, 96, 10, 26, 51, 58, 76, 63, 10, 55, 23, 90, 15, 73, 30, 45, 43, 3, 51, 70, 71, 82, 46, 63, 94, 82, 63, 21, 18, 33, 70, 56, 41, 21, 4, 21, 45, 98, 20, 15, 7, 4, 69, 38, 73, 78, 93, 14, 54, 86, 84, 81, 21, 7, 72, 6, 7, 69, 5, 94, 24, 42, 15, 71, 41, 36, 53, 83, 72, 32, 33, 55, 72, 70, 18, 5, 42, 62, 33, 35] 
5 	 [100, 39, 61, 27, 78, 85, 60, 82, 24, 21, 24, 3, 88, 87, 93, 71, 98, 51, 96, 94, 17, 12, 35, 32, 86, 36, 21, 31, 56, 16, 74, 13, 15, 14, 98, 31, 63, 16, 12, 56, 12, 2, 96, 59, 68, 54, 89, 79, 37, 25, 47, 98, 100, 59, 77, 12, 100, 84, 10, 12, 100, 26, 79, 77, 97, 15, 79, 92, 9, 100, 33, 70, 80, 56, 78, 3, 3, 4, 9, 47, 59, 69, 96, 30, 78, 14, 81, 66, 7, 1, 46, 38, 60, 65, 55, 88, 41, 34, 72, 53] 	 [76, 73, 98, 73, 75, 21, 100, 96, 78, 51, 70, 17, 2, 51, 27, 12, 87, 86, 22, 72, 99, 57, 46, 13, 96, 9, 36, 65, 15, 45, 76, 98, 31, 6, 51, 19, 30, 88, 39, 4, 65, 27, 18, 63, 92, 25, 83, 31, 48, 81, 83, 94, 91, 72, 6, 87, 44, 81, 8, 34, 92, 1, 45, 25, 96, 15, 57, 6, 23, 73, 1, 54, 42, 85, 32, 53, 58, 81, 61, 83, 77, 21, 54, 47, 22, 16, 31, 5, 65, 50, 93, 94, 64, 41, 82, 13, 30, 35, 79, 37] 
6 	 [73, 98, 21, 2, 30, 69, 57, 28, 68, 27, 39, 86, 28, 81, 88, 4, 7, 67, 16, 25, 4, 12, 24, 89, 3, 88, 64, 55, 15, 33, 1, 66, 100, 80, 54, 36, 18, 86, 5, 76, 57, 22, 37, 29, 40, 11, 62, 91, 20, 85, 56, 16, 97, 41, 84, 37, 80, 32, 67, 70, 4, 34, 72, 19, 21, 93, 6, 21, 84, 31, 43, 36, 94, 47, 71, 91, 76, 74, 78, 32, 61, 75, 1, 30, 98, 68, 34, 81, 23, 37, 28, 100, 44, 86, 53, 32, 62, 68, 39, 61] 	 [18, 2, 75, 96, 58, 54, 86, 78, 23, 79, 64, 96, 43, 24, 47, 70, 75, 57, 60, 81, 91, 95, 93, 77, 60, 97, 71, 20, 95, 82, 35, 91, 50, 67, 6, 74, 42, 6, 23, 74, 98, 51, 66, 88, 92, 6, 72, 96, 59, 37, 2, 2, 68, 70, 62, 45, 28, 39, 46, 3, 62, 41, 14, 17, 52, 34, 1, 87, 59, 75, 78, 43, 52, 8, 94, 21, 30, 55, 59, 81, 58, 90, 73, 100, 93, 79, 59, 74, 83, 14, 36, 48, 69, 34, 38, 18, 98, 19, 42, 15] 
7 	 [76, 72, 57, 100, 18, 69, 55, 100, 33, 61, 3, 23, 28, 3, 15, 82, 5, 87, 72, 50, 26, 17, 12, 98, 35, 64, 41, 87, 54, 54, 52, 87, 45, 47, 81, 42, 34, 21, 37, 44, 60, 67, 93, 36, 11, 4, 23, 29, 24, 88, 51, 8, 10, 57, 66, 54, 78, 49, 83, 14, 30, 100, 65, 35, 20, 62, 78, 25, 2, 8, 4, 60, 28, 69, 4, 11, 67, 11, 19, 21, 76, 86, 95, 86, 97, 8, 95, 5, 80, 2, 62, 70, 50, 6, 62, 71, 33, 54, 37, 90] 	 [17, 5, 16, 37, 4, 10, 97, 21, 29, 84, 25, 59, 26, 64, 53, 94, 51, 41, 98, 53, 21, 91, 62, 28, 56, 50, 98, 63, 68, 46, 65, 6, 77, 76, 71, 95, 2, 44, 3, 80, 81, 51, 49, 91, 41, 73, 39, 85, 47, 1, 49, 34, 73, 51, 62, 9, 17, 28, 25, 68, 52, 84, 44, 25, 29, 100, 86, 100, 86, 51, 70, 10, 17, 68, 26, 39, 98, 94, 16, 22, 73, 56, 63, 29, 57, 79, 13, 44, 96, 96, 10, 27, 68, 61, 7, 17, 40, 38, 34, 74] 
8 	 [61, 77, 58, 69, 20, 76, 41, 5, 12, 75, 45, 91, 58, 9, 48, 6, 68, 57, 38, 77, 17, 10, 10, 89, 34, 93, 90, 14, 94, 13, 57, 50, 56, 50, 9, 57, 66, 42, 90, 97, 32, 6, 63, 64, 91, 24, 70, 100, 80, 17, 36, 81, 79, 43, 55, 57, 52, 44, 77, 24, 79, 11, 13, 67, 99, 70, 70, 81, 21, 99, 37, 83, 90, 6, 27, 69, 71, 49, 57, 33, 10, 25, 52, 33, 6, 71, 55, 19, 95, 97, 16, 52, 88, 17, 99, 44, 33, 75, 13, 38] 	 [93, 20, 99, 3, 82, 36, 89, 28, 66, 62, 44, 44, 95, 88, 38, 67, 22, 26, 37, 20, 4, 76, 22, 35, 51, 62, 28, 18, 35, 72, 47, 100, 70, 41, 67, 32, 44, 88, 52, 45, 79, 84, 43, 33, 57, 41, 72, 55, 64, 24, 24, 100, 76, 28, 14, 7, 45, 96, 92, 78, 19, 1, 32, 25, 88, 32, 69, 20, 36, 26, 48, 48, 61, 48, 91, 2, 29, 34, 12, 22, 55, 48, 76, 67, 76, 32, 33, 36, 55, 83, 5, 7, 82, 57, 95, 59, 79, 10, 74, 58] 
9 	 [72, 14, 45, 91, 5, 30, 87, 84, 16, 61, 27, 44, 40, 98, 52, 51, 74, 18, 74, 22, 65, 11, 39, 14, 28, 12, 34, 9, 89, 37, 36, 18, 24, 100, 66, 57, 32, 78, 60, 100, 81, 54, 32, 65, 62, 47, 41, 43, 83, 27, 35, 70, 55, 6, 6, 16, 91, 43, 98, 58, 28, 38, 48, 56, 46, 51, 33, 92, 87, 6, 16, 71, 72, 39, 7, 15, 3, 83, 75, 98, 56, 76, 100, 99, 21, 71, 56, 26, 9, 58, 48, 96, 39, 21, 42, 3, 41, 30, 79, 24] 	 [66, 90, 84, 72, 1, 65, 99, 49, 15, 23, 63, 68, 64, 89, 64, 53, 10, 19, 80, 78, 88, 33, 64, 89, 75, 3, 6, 56, 45, 1, 4, 46, 20, 35, 67, 28, 90, 48, 51, 96, 28, 59, 67, 2, 71, 39, 10, 68, 42, 28, 12, 23, 53, 87, 18, 85, 74, 64, 12, 37, 85, 11, 20, 43, 21, 77, 39, 4, 79, 29, 20, 65, 94, 7, 85, 3, 33, 34, 77, 28, 52, 50, 75, 15, 42, 71, 3, 37, 98, 98, 50, 77, 42, 27, 82, 92, 43, 12, 88, 66] 
10 	 [29, 72, 63, 42, 83, 72, 41, 6, 21, 15, 2, 34, 67, 44, 43, 75, 99, 21, 99, 75, 14, 44, 14, 59, 26, 88, 87, 9, 44, 6, 6, 76, 66, 15, 9, 65, 83, 40, 27, 96, 79, 12, 62, 96, 100, 16, 3, 40, 53, 37, 85, 78, 25, 23, 65, 3, 20, 83, 40, 39, 43, 52, 70, 9, 30, 17, 13, 7, 79, 72, 82, 58, 71, 60, 16, 49, 26, 58, 54, 3, 68, 21, 46, 99, 62, 56, 70, 90, 73, 69, 58, 11, 80, 20, 98, 36, 92, 64, 81, 5] 	 [60, 38, 79, 47, 37, 66, 53, 2, 99, 80, 65, 28, 1, 42, 37, 41, 46, 14, 56, 2, 50, 8, 2, 1, 25, 35, 33, 6, 71, 21, 18, 66, 1, 9, 97, 36, 61, 49, 71, 58, 77, 42, 62, 93, 31, 90, 70, 78, 87, 69, 96, 25, 42, 21, 54, 86, 94, 3, 2, 75, 12, 67, 2, 90, 29, 94, 48, 72, 89, 95, 5, 3, 23, 34, 8, 27, 47, 33, 36, 36, 17, 18, 46, 10, 36, 93, 92, 16, 82, 45, 85, 74, 42, 2, 7, 8, 17, 16, 3, 53] 
