Instance 	 p 	 q 
1 	 [73, 72, 59, 97, 54, 72, 93, 39, 29, 69, 49, 7, 84, 34, 37, 89, 48, 49, 93, 8, 2, 77, 44, 76, 3, 53, 2, 22, 43, 34, 99, 41, 33, 65, 53, 6, 71, 39, 79, 13, 54, 46, 25, 38, 4, 51, 41, 34, 79, 16] 	 [75, 76, 58, 11, 77, 59, 96, 91, 34, 29, 48, 20, 76, 54, 19, 27, 39, 84, 91, 95, 31, 20, 79, 66, 51, 2, 36, 17, 86, 7, 17, 19, 42, 94, 86, 85, 62, 82, 46, 59, 17, 66, 44, 11, 94, 76, 54, 28, 33, 36] 
2 	 [79, 59, 80, 69, 15, 35, 66, 55, 18, 87, 57, 44, 94, 25, 55, 45, 24, 61, 86, 96, 34, 69, 11, 83, 34, 99, 38, 49, 91, 30, 26, 20, 100, 30, 14, 72, 2, 56, 16, 50, 20, 96, 47, 35, 80, 4, 10, 13, 34, 36] 	 [20, 33, 70, 43, 67, 23, 38, 56, 3, 84, 90, 66, 58, 62, 45, 61, 96, 53, 22, 72, 90, 40, 54, 30, 86, 46, 81, 15, 45, 65, 19, 72, 90, 91, 4, 99, 92, 33, 16, 65, 27, 28, 3, 93, 17, 95, 13, 17, 30, 8] 
3 	 [52, 77, 42, 51, 41, 64, 15, 28, 84, 47, 83, 79, 36, 53, 99, 41, 42, 50, 93, 83, 42, 52, 84, 99, 70, 38, 89, 49, 61, 37, 95, 19, 58, 13, 36, 23, 80, 41, 27, 30, 87, 75, 91, 49, 18, 48, 1, 84, 21, 98] 	 [50, 60, 44, 83, 33, 39, 7, 40, 77, 82, 66, 38, 13, 67, 48, 52, 24, 29, 15, 31, 88, 90, 24, 68, 21, 87, 46, 60, 55, 49, 54, 68, 64, 86, 7, 18, 30, 35, 61, 34, 14, 18, 25, 91, 30, 94, 96, 84, 27, 76] 
4 	 [23, 34, 66, 97, 74, 1, 52, 20, 63, 6, 25, 54, 51, 86, 87, 49, 85, 53, 75, 48, 72, 98, 85, 43, 63, 66, 80, 90, 83, 40, 46, 64, 98, 72, 83, 81, 53, 73, 52, 60, 10, 16, 25, 14, 3, 100, 78, 64, 3, 20] 	 [82, 36, 1, 21, 65, 57, 62, 33, 86, 13, 85, 82, 29, 69, 39, 71, 31, 13, 75, 97, 37, 37, 14, 51, 92, 64, 81, 28, 40, 43, 71, 28, 2, 45, 97, 17, 100, 37, 91, 86, 37, 28, 9, 94, 82, 9, 46, 5, 49, 19] 
5 	 [67, 63, 37, 7, 81, 23, 48, 39, 70, 85, 55, 50, 25, 36, 17, 54, 36, 22, 90, 36, 54, 82, 81, 28, 97, 20, 3, 78, 78, 26, 80, 56, 80, 62, 99, 91, 66, 73, 100, 62, 16, 42, 79, 35, 62, 78, 79, 25, 87, 82] 	 [53, 10, 38, 57, 7, 14, 50, 14, 79, 40, 50, 95, 13, 38, 5, 54, 10, 58, 62, 44, 91, 35, 7, 61, 93, 84, 36, 73, 63, 34, 35, 99, 77, 24, 44, 26, 46, 19, 54, 33, 19, 29, 97, 30, 5, 48, 28, 78, 85, 43] 
6 	 [60, 78, 92, 20, 41, 22, 59, 9, 45, 86, 62, 78, 94, 19, 81, 7, 1, 86, 25, 46, 5, 50, 13, 71, 37, 2, 11, 58, 21, 58, 17, 81, 46, 48, 98, 61, 16, 8, 74, 22, 51, 84, 96, 9, 30, 2, 2, 53, 31, 65] 	 [30, 9, 95, 93, 81, 40, 33, 43, 26, 40, 75, 5, 83, 67, 71, 49, 54, 65, 96, 59, 31, 89, 54, 75, 66, 19, 5, 37, 38, 28, 20, 21, 32, 14, 48, 5, 40, 18, 5, 54, 92, 68, 26, 36, 3, 69, 31, 25, 34, 27] 
7 	 [12, 64, 76, 23, 62, 17, 33, 46, 61, 71, 85, 15, 99, 85, 18, 48, 58, 73, 33, 76, 46, 73, 94, 59, 53, 68, 65, 35, 49, 9, 81, 17, 69, 43, 14, 33, 37, 93, 69, 33, 80, 14, 76, 55, 63, 79, 8, 96, 77, 76] 	 [29, 98, 68, 28, 90, 72, 58, 7, 83, 43, 82, 87, 94, 77, 41, 92, 32, 71, 53, 37, 44, 95, 88, 93, 3, 70, 3, 12, 89, 60, 98, 80, 95, 91, 85, 94, 84, 8, 7, 23, 84, 46, 31, 52, 2, 84, 45, 50, 94, 82] 
8 	 [13, 2, 59, 20, 53, 92, 30, 21, 26, 59, 58, 66, 29, 9, 78, 4, 65, 79, 21, 78, 38, 96, 10, 26, 51, 58, 76, 63, 10, 55, 23, 90, 15, 73, 30, 45, 43, 3, 51, 70, 71, 82, 46, 63, 94, 82, 63, 21, 18, 33] 	 [70, 56, 41, 21, 4, 21, 45, 98, 20, 15, 7, 4, 69, 38, 73, 78, 93, 14, 54, 86, 84, 81, 21, 7, 72, 6, 7, 69, 5, 94, 24, 42, 15, 71, 41, 36, 53, 83, 72, 32, 33, 55, 72, 70, 18, 5, 42, 62, 33, 35] 
9 	 [100, 39, 61, 27, 78, 85, 60, 82, 24, 21, 24, 3, 88, 87, 93, 71, 98, 51, 96, 94, 17, 12, 35, 32, 86, 36, 21, 31, 56, 16, 74, 13, 15, 14, 98, 31, 63, 16, 12, 56, 12, 2, 96, 59, 68, 54, 89, 79, 37, 25] 	 [47, 98, 100, 59, 77, 12, 100, 84, 10, 12, 100, 26, 79, 77, 97, 15, 79, 92, 9, 100, 33, 70, 80, 56, 78, 3, 3, 4, 9, 47, 59, 69, 96, 30, 78, 14, 81, 66, 7, 1, 46, 38, 60, 65, 55, 88, 41, 34, 72, 53] 
10 	 [76, 73, 98, 73, 75, 21, 100, 96, 78, 51, 70, 17, 2, 51, 27, 12, 87, 86, 22, 72, 99, 57, 46, 13, 96, 9, 36, 65, 15, 45, 76, 98, 31, 6, 51, 19, 30, 88, 39, 4, 65, 27, 18, 63, 92, 25, 83, 31, 48, 81] 	 [83, 94, 91, 72, 6, 87, 44, 81, 8, 34, 92, 1, 45, 25, 96, 15, 57, 6, 23, 73, 1, 54, 42, 85, 32, 53, 58, 81, 61, 83, 77, 21, 54, 47, 22, 16, 31, 5, 65, 50, 93, 94, 64, 41, 82, 13, 30, 35, 79, 37] 
